Episode,Reward,Accumulated Reward,Average Reward,Loss
1,10,10,10.0,112861.78125
2,8,18,9.0,14433264.0
3,10,28,9.333333333333334,338832.40625
4,10,38,9.5,2.693859100341797
5,9,47,9.4,21010.1796875
6,10,57,9.5,3606.691650390625
7,9,66,9.428571428571429,15553.7578125
8,10,76,9.5,8147.07666015625
9,10,86,9.555555555555555,355922.34375
10,8,94,9.4,75256.2734375
11,10,104,9.454545454545455,1465.9012451171875
12,10,114,9.5,1276.5369873046875
13,10,124,9.538461538461538,0.6032060980796814
14,10,134,9.571428571428571,145.53160095214844
15,9,143,9.533333333333333,544.8671875
16,10,153,9.5625,1.2549484968185425
17,10,163,9.588235294117647,30525.03125
18,10,173,9.61111111111111,8.193984985351562
19,9,182,9.578947368421053,2253.250732421875
20,8,190,9.5,0.282618910074234
21,10,200,9.523809523809524,0.282981276512146
22,10,210,9.545454545454545,154108.546875
23,10,220,9.565217391304348,0.28937143087387085
24,9,229,9.541666666666666,0.3010667860507965
25,8,237,9.48,0.30387619137763977
26,10,247,9.5,0.30429986119270325
27,10,257,9.518518518518519,112789.2421875
28,10,267,9.535714285714286,0.31321921944618225
29,10,277,9.551724137931034,0.31780949234962463
30,4,281,9.366666666666667,1905.6234130859375
31,7,288,9.290322580645162,1015999.25
32,10,298,9.3125,0.3204062283039093
33,10,308,9.333333333333334,0.31165722012519836
34,10,318,9.352941176470589,0.30930450558662415
35,10,328,9.371428571428572,0.3083164095878601
36,10,338,9.38888888888889,0.30741971731185913
37,10,348,9.405405405405405,0.3066055178642273
38,10,358,9.421052631578947,0.30586597323417664
39,10,368,9.435897435897436,0.30519405007362366
40,10,378,9.45,0.30458304286003113
41,10,388,9.463414634146341,0.30402740836143494
42,10,398,9.476190476190476,0.28156009316444397
43,8,406,9.44186046511628,0.3022730350494385
44,10,416,9.454545454545455,0.30193039774894714
45,10,426,9.466666666666667,0.30159473419189453
46,10,436,9.478260869565217,0.3012751638889313
47,10,446,9.48936170212766,0.3009823262691498
48,10,456,9.5,0.30071374773979187
49,10,466,9.510204081632653,0.300467312335968
50,10,476,9.52,0.3002409040927887
51,10,486,9.529411764705882,0.30003273487091064
52,10,496,9.538461538461538,0.2998410761356354
53,10,506,9.547169811320755,0.29966437816619873
54,10,516,9.555555555555555,0.2995012700557709
55,10,526,9.563636363636364,0.29935041069984436
56,10,536,9.571428571428571,0.2992107570171356
57,10,546,9.578947368421053,0.2990812063217163
58,10,556,9.586206896551724,0.29896077513694763
59,10,566,9.59322033898305,0.29884856939315796
60,8,574,9.566666666666666,0.2984876334667206
61,10,584,9.573770491803279,0.2984149754047394
62,10,594,9.580645161290322,0.29834604263305664
63,10,604,9.587301587301587,0.29828038811683655
64,10,614,9.59375,0.29821768403053284
65,10,624,9.6,0.2981577217578888
66,9,633,9.590909090909092,0.2980480492115021
67,10,643,9.597014925373134,0.2979975640773773
68,10,653,9.602941176470589,0.29794856905937195
69,9,662,9.594202898550725,0.2978578209877014
70,10,672,9.6,0.29781538248062134
71,10,682,9.605633802816902,0.29777365922927856
72,10,692,9.61111111111111,0.2977324426174164
73,9,701,9.602739726027398,0.2976229190826416
74,10,711,9.608108108108109,0.297590047121048
75,10,721,9.613333333333333,0.2975269854068756
76,10,731,9.618421052631579,0.2974965274333954
77,10,741,9.623376623376624,0.29746541380882263
