Episode,Reward,Accumulated Reward,Average Reward,Loss
1,9,9,9.0,856.5003051757812
2,10,19,9.5,59939.828125
3,9,28,9.333333333333334,60931.96875
4,9,37,9.25,156482.59375
5,10,47,9.4,770.9413452148438
6,8,55,9.166666666666666,582.0890502929688
7,9,64,9.142857142857142,63.779815673828125
8,7,71,8.875,27.538055419921875
9,9,80,8.88888888888889,0.340313196182251
10,10,90,9.0,10.28305721282959
11,10,100,9.090909090909092,0.339461088180542
12,9,109,9.083333333333334,0.10710655897855759
13,9,118,9.076923076923077,0.3384009599685669
14,9,127,9.071428571428571,0.3380207121372223
15,10,137,9.133333333333333,0.3379763066768646
16,10,147,9.1875,0.3378188908100128
17,7,154,9.058823529411764,0.33766934275627136
18,9,163,9.055555555555555,0.3375450372695923
19,10,173,9.105263157894736,0.3374897539615631
20,8,181,9.05,0.33727094531059265
21,9,190,9.047619047619047,0.3371248245239258
22,6,196,8.909090909090908,0.33696770668029785
23,10,206,8.956521739130435,0.33692702651023865
24,10,216,9.0,0.3367955982685089
25,10,226,9.04,0.3367616832256317
26,10,236,9.076923076923077,0.3366380035877228
27,10,246,9.11111111111111,0.33658936619758606
28,10,256,9.142857142857142,0.33642879128456116
29,10,266,9.172413793103448,0.3360614776611328
30,6,272,9.066666666666666,0.3356858193874359
31,9,281,9.064516129032258,0.33552154898643494
32,9,290,9.0625,0.3353653848171234
33,9,299,9.06060606060606,0.3352496325969696
34,10,309,9.088235294117647,0.3350992500782013
35,7,316,9.028571428571428,0.33497369289398193
36,8,324,9.0,0.3348131477832794
37,7,331,8.945945945945946,0.3346218764781952
38,10,341,8.973684210526315,0.3345949649810791
39,10,351,9.0,0.33527615666389465
40,10,361,9.025,0.3258545696735382
41,10,371,9.048780487804878,0.30592235922813416
42,10,381,9.071428571428571,0.27037835121154785
43,10,391,9.093023255813954,0.21846674382686615
44,10,401,9.113636363636363,0.15343399345874786
45,10,411,9.133333333333333,0.0838390663266182
46,10,421,9.152173913043478,0.025152258574962616
47,10,431,9.170212765957446,9.25261986139958e-07
48,10,441,9.1875,0.026471538469195366
49,10,451,9.204081632653061,0.0752912238240242
50,10,461,9.22,0.09069772809743881
51,10,471,9.235294117647058,0.07035856693983078
52,10,481,9.25,0.03764919191598892
53,10,491,9.264150943396226,0.011702780611813068
54,10,501,9.277777777777779,0.0005233594565652311
55,10,511,9.290909090909091,0.0026583997532725334
56,10,521,9.303571428571429,0.01200780551880598
57,10,531,9.31578947368421,0.022368207573890686
58,10,541,9.327586206896552,0.029674863442778587
59,10,551,9.338983050847459,0.03219464793801308
60,10,561,9.35,0.029912078753113747
61,10,571,9.360655737704919,0.023913675919175148
62,10,581,9.370967741935484,0.015956223011016846
63,10,591,9.380952380952381,0.00811379961669445
64,10,601,9.390625,0.002359194913879037
65,10,611,9.4,2.7360632884665392e-05
66,10,621,9.409090909090908,0.001280556432902813
67,10,631,9.417910447761194,0.004903540015220642
68,10,641,9.426470588235293,0.008765692822635174
69,10,651,9.434782608695652,0.010876503773033619
70,10,661,9.442857142857143,0.010375257581472397
71,10,671,9.450704225352112,0.007771696429699659
72,10,681,9.458333333333334,0.00440027704462409
73,10,691,9.465753424657533,0.0016046956880018115
74,10,701,9.472972972972974,0.00016500928904861212
75,10,711,9.48,0.00015327266009990126
76,10,721,9.486842105263158,0.0011213551042601466
77,10,731,9.493506493506494,0.002415907336398959
78,10,741,9.5,0.0034530519042164087
79,10,751,9.50632911392405,0.003878172719851136
80,10,761,9.5125,0.003609771141782403
81,10,771,9.518518518518519,0.002799674868583679
82,10,781,9.524390243902438,0.0017447731224820018
83,10,791,9.53012048192771,0.0007776539423502982
84,10,801,9.535714285714286,0.0001601651165401563
85,10,811,9.541176470588235,5.965708169242134e-06
86,10,821,9.546511627906977,0.0002551551442593336
87,10,831,9.551724137931034,0.0007128256256692111
88,10,841,9.556818181818182,0.001137862098403275
89,10,851,9.561797752808989,0.0013432931154966354
90,10,861,9.566666666666666,0.0012625717790797353
91,10,871,9.571428571428571,0.0009552804403938353
92,10,881,9.576086956521738,0.0005589105421677232
93,10,891,9.580645161290322,0.00021849328186362982
94,10,901,9.585106382978724,2.9252783861011267e-05
95,10,911,9.589473684210526,1.2201276149426121e-05
96,10,921,9.59375,0.0001236544194398448
97,10,931,9.597938144329897,0.00028556238976307213
98,10,941,9.60204081632653,0.00042018608655780554
99,10,951,9.606060606060606,0.00047617973177693784
100,10,961,9.61,0.0004401695914566517
101,10,971,9.613861386138614,0.00033345629344694316
102,10,981,9.617647058823529,0.00019846489885821939
103,10,991,9.62135922330097,8.060719119384885e-05
104,10,1001,9.625,1.2212818546686321e-05
105,10,1011,9.628571428571428,3.261569190726732e-06
106,10,1021,9.632075471698114,4.1273542592534795e-05
107,10,1031,9.63551401869159,9.933082765201107e-05
108,10,1041,9.63888888888889,0.00014826982805971056
109,10,1051,9.642201834862385,0.0001679076231084764
110,10,1061,9.645454545454545,0.00015302735846489668
111,10,1071,9.64864864864865,0.00011257510050199926
112,10,1081,9.651785714285714,6.358226528391242e-05
113,10,1091,9.654867256637168,2.3195148969534785e-05
114,10,1101,9.657894736842104,2.267741592731909e-06
115,10,1111,9.660869565217391,2.6115305900020758e-06
116,10,1121,9.663793103448276,1.817126940295566e-05
117,10,1131,9.666666666666666,3.878652933053672e-05
118,10,1141,9.669491525423728,5.463145862449892e-05
119,10,1151,9.672268907563025,5.9624220739351586e-05
120,10,1161,9.675,5.2855470130452886e-05
121,10,1171,9.677685950413224,3.790686605498195e-05
122,10,1181,9.680327868852459,2.0729312382172793e-05
123,10,1191,9.682926829268293,7.075432222336531e-06
124,10,1201,9.685483870967742,4.774922786054958e-07
125,10,1211,9.688,1.3305983657119214e-06
126,10,1221,9.69047619047619,7.308729891519761e-06
127,10,1231,9.692913385826772,1.4685792848467827e-05
128,10,1241,9.6953125,1.996438550122548e-05
129,10,1251,9.69767441860465,2.111716639774386e-05
130,10,1261,9.7,1.806814361771103e-05
131,10,1271,9.702290076335878,1.2363366295176093e-05
132,10,1281,9.704545454545455,6.267997378017753e-06
