Episode,Reward,Accumulated Reward,Average Reward,Loss
1,10,10,10.0,7654.412109375
2,7,17,8.5,2641408.25
3,10,27,9.0,186037.296875
4,10,37,9.25,587231.1875
5,10,47,9.4,30004.296875
6,10,57,9.5,162587.015625
7,10,67,9.571428571428571,46459.78515625
8,10,77,9.625,38122.49609375
9,4,81,9.0,367.7892761230469
10,10,91,9.1,25912.953125
11,10,101,9.181818181818182,10633.8271484375
12,10,111,9.25,1622987.0
13,10,121,9.307692307692308,201627.640625
14,9,130,9.285714285714286,58290.59765625
15,10,140,9.333333333333334,1800.5406494140625
16,8,148,9.25,9667309.0
17,9,157,9.235294117647058,0.3698609173297882
18,10,167,9.277777777777779,0.35472890734672546
19,9,176,9.263157894736842,0.31331685185432434
20,10,186,9.3,0.30626240372657776
21,10,196,9.333333333333334,0.3000691533088684
22,10,206,9.363636363636363,0.2898085117340088
23,10,216,9.391304347826088,0.28403499722480774
24,10,226,9.416666666666666,0.28166767954826355
25,9,235,9.4,0.27759209275245667
26,10,245,9.423076923076923,0.2758411169052124
27,10,255,9.444444444444445,0.27285367250442505
28,10,265,9.464285714285714,0.27175185084342957
29,10,275,9.482758620689655,0.2707430124282837
30,10,285,9.5,0.2698199152946472
31,9,294,9.483870967741936,0.2675051689147949
32,10,304,9.5,0.2668651044368744
33,10,314,9.515151515151516,0.26628032326698303
34,9,323,9.5,0.2652610242366791
35,9,332,9.485714285714286,0.2644156217575073
36,10,342,9.5,0.2640479505062103
37,10,352,9.513513513513514,0.2637118101119995
38,10,362,9.526315789473685,0.26340439915657043
39,10,372,9.538461538461538,0.26312294602394104
40,10,382,9.55,0.2628653645515442
41,10,392,9.560975609756097,0.2626292109489441
42,10,402,9.571428571428571,0.2624126076698303
43,10,412,9.581395348837209,0.26221373677253723
44,10,422,9.590909090909092,0.2620311379432678
45,10,432,9.6,73.4255599975586
46,10,442,9.608695652173912,3555.907470703125
47,10,452,9.617021276595745,0.25955668091773987
48,10,462,9.625,0.25810709595680237
49,10,472,9.63265306122449,0.25329241156578064
50,10,482,9.64,0.24950604140758514
51,10,492,9.647058823529411,0.2445886880159378
52,10,502,9.653846153846153,0.23862166702747345
53,10,512,9.660377358490566,0.23171859979629517
54,10,522,9.666666666666666,0.22400903701782227
55,10,532,9.672727272727272,0.21562743186950684
56,10,542,9.678571428571429,0.20670656859874725
57,10,552,9.68421052631579,0.19737370312213898
58,10,562,9.689655172413794,0.18774814903736115
59,10,572,9.694915254237289,0.1779395490884781
60,10,582,9.7,0.168047234416008
61,10,592,9.704918032786885,0.15845084190368652
62,10,602,9.709677419354838,0.14912529289722443
63,10,612,9.714285714285714,0.13981695473194122
64,10,622,9.71875,0.13059844076633453
65,9,631,9.707692307692307,0.11351724714040756
66,10,641,9.712121212121213,0.09826081246137619
67,10,651,9.716417910447761,0.09105093032121658
68,10,661,9.720588235294118,0.08402570337057114
69,10,671,9.72463768115942,0.07722555100917816
70,10,681,9.728571428571428,0.06484115868806839
