Episode,Reward,Accumulated Reward,Average Reward,Loss
1,10,10,10.0,1311.004638671875
2,10,20,10.0,3043500.25
3,10,30,10.0,14185.9150390625
4,10,40,10.0,3538.990966796875
5,8,48,9.6,37.7796745300293
6,9,57,9.5,0.3062495291233063
7,6,63,9.0,0.30889126658439636
8,10,73,9.125,0.3090328276157379
9,9,82,9.11111111111111,0.3083358108997345
10,2,84,8.4,0.3032607138156891
11,8,92,8.363636363636363,0.3001697361469269
12,-1,91,7.583333333333333,0.2831709086894989
13,8,99,7.615384615384615,0.2788412272930145
14,10,109,7.785714285714286,0.2768913209438324
15,1,110,7.333333333333333,0.27319833636283875
16,10,120,7.5,0.27317360043525696
17,8,128,7.529411764705882,2657.432373046875
18,-2,126,7.0,0.27469560503959656
19,3,129,6.7894736842105265,0.2781814932823181
20,3,132,6.6,0.2800612449645996
21,-6,126,6.0,0.2819143235683441
22,6,132,6.0,0.2821572721004486
23,-2,130,5.6521739130434785,0.2835158407688141
24,6,136,5.666666666666667,0.2839999496936798
25,7,143,5.72,0.2842542231082916
26,6,149,5.730769230769231,0.28472450375556946
27,-10,139,5.148148148148148,0.2881200313568115
28,-4,135,4.821428571428571,0.28935477137565613
29,-7,128,4.413793103448276,0.29269781708717346
30,-7,121,4.033333333333333,0.29683569073677063
31,-2,119,3.838709677419355,38860260.0
32,8,127,3.96875,0.08028782904148102
33,4,131,3.9696969696969697,0.08114317804574966
34,9,140,4.117647058823529,0.08276116102933884
35,10,150,4.285714285714286,0.08566155284643173
36,10,160,4.444444444444445,0.08584746718406677
37,10,170,4.594594594594595,6413.10107421875
38,10,180,4.7368421052631575,0.10830586403608322
39,10,190,4.871794871794871,0.10462412238121033
40,4,194,4.85,0.11569023132324219
41,9,203,4.951219512195122,0.11983407288789749
42,9,212,5.0476190476190474,0.11678596585988998
43,7,219,5.093023255813954,0.13123495876789093
44,9,228,5.181818181818182,0.1223815381526947
45,10,238,5.288888888888889,0.11779007315635681
46,10,248,5.391304347826087,0.09190591424703598
47,10,258,5.48936170212766,0.0820905938744545
48,10,268,5.583333333333333,0.08178719133138657
49,3,271,5.530612244897959,0.07484498620033264
50,9,280,5.6,0.07323414087295532
51,10,290,5.686274509803922,0.0725463256239891
52,7,297,5.711538461538462,0.06729239225387573
53,9,306,5.773584905660377,0.06089884415268898
54,9,315,5.833333333333333,0.056549299508333206
55,10,325,5.909090909090909,0.05457301065325737
56,8,333,5.946428571428571,0.1358109712600708
57,10,343,6.017543859649122,0.13793843984603882
58,10,353,6.086206896551724,0.17127686738967896
59,10,363,6.1525423728813555,0.23662282526493073
60,10,373,6.216666666666667,0.24551664292812347
61,10,383,6.278688524590164,0.2623392939567566
62,10,393,6.338709677419355,0.26138582825660706
63,9,402,6.380952380952381,0.2559231221675873
64,10,412,6.4375,0.2569659650325775
65,10,422,6.492307692307692,0.25672706961631775
66,10,432,6.545454545454546,0.25534409284591675
67,10,442,6.597014925373134,0.25294917821884155
68,10,452,6.647058823529412,0.24967555701732635
69,10,462,6.695652173913044,0.2456476092338562
70,10,472,6.742857142857143,0.24098272621631622
71,10,482,6.788732394366197,0.23579005897045135
72,10,492,6.833333333333333,0.23017080128192902
73,10,502,6.876712328767123,0.2242155522108078
74,10,512,6.918918918918919,0.18107576668262482
75,10,522,6.96,0.1805485039949417
76,10,532,7.0,0.1727035492658615
77,10,542,7.038961038961039,0.17204153537750244
78,10,552,7.076923076923077,0.16364893317222595
79,10,562,7.113924050632911,0.16306498646736145
80,10,572,7.15,0.15548790991306305
81,10,582,7.185185185185185,0.15493085980415344
82,10,592,7.219512195121951,0.14774800837039948
83,10,602,7.253012048192771,0.14721262454986572
84,10,612,7.285714285714286,0.1403834968805313
85,10,622,7.317647058823529,0.13986903429031372
86,10,632,7.348837209302325,0.13348348438739777
87,10,642,7.379310344827586,0.13301317393779755
88,10,652,7.409090909090909,0.127027228474617
89,10,662,7.438202247191011,0.12654611468315125
90,10,672,7.466666666666667,0.12074554711580276
91,10,682,7.4945054945054945,0.1203196570277214
92,10,692,7.521739130434782,0.11502914875745773
93,10,702,7.548387096774194,0.11460376530885696
94,8,710,7.553191489361702,0.11241298913955688
95,10,720,7.578947368421052,0.11192026734352112
96,10,730,7.604166666666667,0.11105436086654663
97,10,740,7.628865979381444,0.09552327543497086
98,10,750,7.653061224489796,3.4729394912719727
99,10,760,7.6767676767676765,1.0315054655075073
100,10,770,7.7,0.6087543368339539
101,10,780,7.7227722772277225,0.26994749903678894
102,10,790,7.745098039215686,0.06786980479955673
103,10,800,7.766990291262136,0.00048503957805223763
104,10,810,7.788461538461538,0.03356820344924927
105,10,820,7.809523809523809,0.1208772286772728
106,10,830,7.830188679245283,0.21926243603229523
107,10,840,7.850467289719626,0.29769161343574524
108,10,850,7.87037037037037,0.34021589159965515
109,10,860,7.889908256880734,0.3441956341266632
110,10,870,7.909090909090909,0.3160129487514496
111,10,880,7.927927927927928,0.2664182782173157
112,10,890,7.946428571428571,0.20680908858776093
113,10,900,7.964601769911504,0.1469322144985199
114,10,910,7.982456140350878,0.0938500389456749
115,10,920,8.0,0.0517994724214077
116,10,930,8.017241379310345,0.022531554102897644
117,10,940,8.034188034188034,0.014254424721002579
118,10,950,8.05084745762712,0.0255091805011034
119,10,960,8.067226890756302,0.03552887961268425
120,10,970,8.083333333333334,0.042752932757139206
121,10,980,8.099173553719009,0.046564262360334396
122,10,990,8.114754098360656,0.047046463936567307
123,10,1000,8.130081300813009,0.04473119601607323
124,10,1010,8.14516129032258,0.04037376493215561
125,10,1020,8.16,0.03477611765265465
126,10,1030,8.174603174603174,0.028665296733379364
127,10,1040,8.188976377952756,0.022625377401709557
128,10,1050,8.203125,0.017073189839720726
129,10,1060,8.217054263565892,0.012264746241271496
130,10,1070,8.23076923076923,0.008319423533976078
131,10,1080,8.244274809160306,0.0052523743361234665
132,10,1090,8.257575757575758,0.003006357466802001
133,10,1100,8.270676691729323,0.0014810124412178993
134,10,1110,8.283582089552239,0.0005549085326492786
135,10,1120,8.296296296296296,0.0001021826101350598
136,10,1130,8.308823529411764,3.4124316243833164e-06
137,10,1140,8.321167883211679,0.00015207527030725032
138,10,1150,8.333333333333334,0.000457644258858636
139,10,1160,8.345323741007194,0.0008464883430860937
140,10,1170,8.357142857142858,0.0012611245037987828
141,10,1180,8.368794326241135,0.0016588749131187797
142,10,1190,8.380281690140846,0.002009844407439232
143,10,1200,8.391608391608392,0.002295024460181594
144,10,1210,8.402777777777779,0.002504057018086314
145,10,1220,8.413793103448276,0.002633758820593357
146,10,1230,8.424657534246576,0.0026861224323511124
147,10,1240,8.435374149659864,0.0026672075036913157
148,10,1250,8.445945945945946,0.00258560455404222
149,10,1260,8.456375838926174,0.0024517083074897528
150,10,1270,8.466666666666667,0.0022765446919947863
151,10,1280,8.47682119205298,0.002071477472782135
152,10,1290,8.486842105263158,0.0018472466617822647
153,10,1300,8.49673202614379,0.0016140169464051723
154,10,1310,8.506493506493506,0.0013805994531139731
155,10,1320,8.516129032258064,0.0011546766618266702
156,10,1330,8.525641025641026,0.0009423906449228525
157,10,1340,8.535031847133759,0.000748452905099839
158,10,1350,8.544303797468354,0.0005762250511907041
159,10,1360,8.553459119496855,0.00042764542740769684
160,10,1370,8.5625,0.0003034184919670224
161,10,1380,8.571428571428571,0.0002032561314990744
162,10,1390,8.580246913580247,0.0001259425625903532
163,10,1400,8.588957055214724,6.95739799994044e-05
164,10,1410,8.597560975609756,3.175190067850053e-05
165,10,1420,8.606060606060606,9.73954320215853e-06
166,10,1430,8.614457831325302,6.613630034735252e-07
167,10,1440,8.622754491017965,1.6345693438779563e-06
168,10,1450,8.630952380952381,9.905202205118258e-06
169,10,1460,8.63905325443787,2.294655132573098e-05
170,10,1470,8.647058823529411,3.85400271625258e-05
171,10,1480,8.654970760233919,5.4802523663965985e-05
172,10,1490,8.662790697674419,7.024611841188744e-05
173,10,1500,8.670520231213873,8.37415354908444e-05
174,10,1510,8.67816091954023,9.451762161916122e-05
175,10,1520,8.685714285714285,0.000102138081274461
176,10,1530,8.693181818181818,0.00010644502617651597
177,10,1540,8.700564971751412,0.00010752709931693971
178,10,1550,8.707865168539326,0.00010562857642071322
179,10,1560,8.71508379888268,0.00010114998440258205
180,10,1570,8.722222222222221,9.456044062972069e-05
181,10,1580,8.7292817679558,8.639234147267416e-05
182,10,1590,8.736263736263735,7.71645936765708e-05
183,10,1600,8.743169398907105,6.735985516570508e-05
184,10,1610,8.75,5.744224108639173e-05
185,10,1620,8.756756756756756,4.7787285438971594e-05
186,10,1630,8.763440860215054,3.8697424315614626e-05
187,10,1640,8.770053475935828,3.042572643607855e-05
