Episode,Reward,Accumulated Reward,Average Reward,Loss
1,10,10,10.0,3490.1484375
2,10,20,10.0,781732.0625
3,10,30,10.0,10693.3603515625
4,9,39,9.75,155744.109375
5,10,49,9.8,1028.4930419921875
6,3,52,8.666666666666666,0.47865524888038635
7,8,60,8.571428571428571,0.49847128987312317
8,9,69,8.625,0.5155486464500427
9,10,79,8.777777777777779,0.5204585790634155
10,10,89,8.9,0.5225330591201782
11,10,99,9.0,0.5260148644447327
12,8,107,8.916666666666666,0.529940664768219
13,9,116,8.923076923076923,0.5326500535011292
14,10,126,9.0,0.5338862538337708
15,7,133,8.866666666666667,0.5353642106056213
16,4,137,8.5625,38547.88671875
17,5,142,8.352941176470589,0.49125123023986816
18,8,150,8.333333333333334,0.47974106669425964
19,6,156,8.210526315789474,0.46436449885368347
20,7,163,8.15,0.4551236629486084
21,10,173,8.238095238095237,0.45321500301361084
22,8,181,8.227272727272727,0.44817042350769043
23,8,189,8.217391304347826,0.44406020641326904
24,9,198,8.25,0.4416694939136505
25,-2,196,7.84,0.43118080496788025
26,6,202,7.769230769230769,0.42911720275878906
27,7,209,7.7407407407407405,0.42784997820854187
28,-6,203,7.25,0.42343831062316895
29,7,210,7.241379310344827,0.422425240278244
30,0,210,7.0,0.4193415343761444
31,4,214,6.903225806451613,0.4174131155014038
32,0,214,6.6875,0.4142569303512573
33,6,220,6.666666666666667,0.41273894906044006
34,-56,164,4.823529411764706,0.40154555439949036
35,-122,42,1.2,0.3817470967769623
36,-135,-93,-2.5833333333333335,0.36667880415916443
37,-22,-115,-3.108108108108108,0.3613870143890381
38,-248,-363,-9.552631578947368,0.3297640383243561
39,-79,-442,-11.333333333333334,0.31550559401512146
40,10,-432,-10.8,0.31513482332229614
41,10,-422,-10.292682926829269,0.31453362107276917
42,10,-412,-9.80952380952381,0.3137257993221283
43,10,-402,-9.348837209302326,0.3127325177192688
44,10,-392,-8.909090909090908,0.3115736246109009
45,10,-382,-8.488888888888889,0.3102666437625885
46,10,-372,-8.08695652173913,0.3088279962539673
47,10,-362,-7.702127659574468,0.30727216601371765
48,10,-352,-7.333333333333333,0.30590707063674927
49,10,-342,-6.979591836734694,0.3045799732208252
50,10,-332,-6.64,0.3031890392303467
51,10,-322,-6.313725490196078,0.3017416298389435
52,10,-312,-6.0,0.30024436116218567
53,10,-302,-5.69811320754717,0.29870331287384033
54,10,-292,-5.407407407407407,0.29712387919425964
55,10,-282,-5.127272727272727,0.295510858297348
56,10,-272,-4.857142857142857,0.2938688397407532
57,10,-262,-4.5964912280701755,0.29220160841941833
58,10,-252,-4.344827586206897,0.2905128300189972
59,10,-242,-4.101694915254237,0.2888058125972748
60,10,-232,-3.8666666666666667,0.28708335757255554
61,10,-222,-3.639344262295082,0.28534814715385437
62,10,-212,-3.4193548387096775,0.2836025059223175
63,10,-202,-3.2063492063492065,0.2818484902381897
64,10,-192,-3.0,0.2800881266593933
65,10,-182,-2.8,0.27832308411598206
66,10,-172,-2.606060606060606,0.2765548527240753
67,10,-162,-2.417910447761194,0.2747848331928253
68,10,-152,-2.235294117647059,0.2730143666267395
69,10,-142,-2.0579710144927534,0.2712443768978119
70,10,-132,-1.8857142857142857,0.2694760262966156
71,10,-122,-1.7183098591549295,0.2677101790904999
72,10,-112,-1.5555555555555556,0.2659475803375244
73,10,-102,-1.3972602739726028,0.2641890347003937
74,10,-92,-1.2432432432432432,0.26243504881858826
75,10,-82,-1.0933333333333333,0.2606862485408783
76,10,-72,-0.9473684210526315,0.258943110704422
77,10,-62,-0.8051948051948052,0.2572063207626343
78,10,-52,-0.6666666666666666,0.2554759979248047
79,10,-42,-0.5316455696202531,0.25375252962112427
80,10,-32,-0.4,0.25203636288642883
