Episode,Reward,Accumulated Reward,Average Reward,Loss
64,10,558,8.71875,0.23455792665481567
65,10,568,8.738461538461538,0.22815430164337158
66,10,578,8.757575757575758,0.22164367139339447
67,10,588,8.776119402985074,0.21506564319133759
68,10,598,8.794117647058824,0.2084551900625229
69,10,608,8.81159420289855,0.20184326171875
70,10,618,8.82857142857143,0.19525712728500366
71,10,628,8.845070422535212,0.18872018158435822
72,10,638,8.86111111111111,0.1822531670331955
73,10,648,8.876712328767123,0.17587371170520782
74,10,658,8.891891891891891,0.1695968061685562
75,10,668,8.906666666666666,0.16343529522418976
76,10,678,8.921052631578947,0.15739978849887848
77,10,688,8.935064935064934,0.1514989584684372
78,10,698,8.948717948717949,0.14573995769023895
79,10,708,8.962025316455696,0.1401280015707016
80,10,718,8.975,0.13466773927211761
81,10,728,8.987654320987655,0.12936194241046906
82,10,738,9.0,0.12421243637800217
83,10,748,9.012048192771084,0.1192205548286438
84,10,758,9.023809523809524,0.11438634991645813
85,10,768,9.035294117647059,0.10970944911241531
86,10,778,9.046511627906977,0.10518873482942581
87,10,788,9.057471264367816,0.10082273930311203
88,10,798,9.068181818181818,0.09660916775465012
89,10,808,9.07865168539326,0.09254582971334457
90,10,818,9.088888888888889,0.08863010257482529
91,10,828,9.098901098901099,0.0848584994673729
92,10,838,9.108695652173912,0.08122821152210236
93,10,848,9.118279569892474,0.07773575931787491
94,10,858,9.127659574468085,0.07437770068645477
95,10,868,9.136842105263158,0.07115016877651215
96,10,878,9.145833333333334,0.06804966181516647
97,10,888,9.154639175257731,0.0650724247097969
98,10,898,9.16326530612245,0.06221449747681618
99,10,908,9.171717171717171,0.059472307562828064
100,10,918,9.18,0.056842055171728134
101,10,928,9.188118811881187,0.05431978031992912
102,10,938,9.196078431372548,0.051902156323194504
103,10,948,9.20388349514563,0.04958515986800194
104,10,958,9.211538461538462,0.04736551269888878
105,10,968,9.219047619047618,0.04523942992091179
106,10,978,9.226415094339623,0.043203696608543396
107,10,988,9.233644859813085,0.04125462844967842
108,10,998,9.24074074074074,0.039389222860336304
109,10,1008,9.247706422018348,0.03760411962866783
110,10,1018,9.254545454545454,0.035896286368370056
111,10,1028,9.26126126126126,0.034262582659721375
112,10,1038,9.267857142857142,0.03270016983151436
113,10,1048,9.274336283185841,0.03120611421763897
114,10,1058,9.280701754385966,0.02977767400443554
115,10,1068,9.28695652173913,0.02841220051050186
116,10,1078,9.293103448275861,0.027107052505016327
117,10,1088,9.2991452991453,0.025859853252768517
118,10,1098,9.305084745762711,0.024668047204613686
119,10,1108,9.3109243697479,0.023529434576630592
120,10,1118,9.316666666666666,0.022441722452640533
121,10,1128,9.322314049586776,0.021402781829237938
122,10,1138,9.327868852459016,0.05274194851517677
123,10,1148,9.333333333333334,0.01944488100707531
124,10,1158,9.338709677419354,0.01852462813258171
125,10,1168,9.344,0.017647670581936836
126,10,1178,9.34920634920635,0.016811959445476532
127,10,1188,9.354330708661417,0.016015535220503807
128,10,1198,9.359375,0.015256659127771854
129,10,1208,9.364341085271318,0.014533321373164654
130,10,1218,9.36923076923077,0.013843998312950134
131,10,1228,9.374045801526718,0.013187099248170853
132,10,1238,9.378787878787879,0.01256115734577179
133,10,1248,9.38345864661654,0.011964644305408001
134,10,1258,9.388059701492537,0.011396038345992565
135,10,1268,9.392592592592592,0.010854349471628666
136,10,1278,9.397058823529411,0.010338051244616508
137,10,1288,9.401459854014599,0.009846021421253681
138,10,1298,9.405797101449275,0.00937728863209486
139,10,1308,9.410071942446043,0.008930493146181107
140,10,1318,9.414285714285715,0.008504857309162617
141,10,1328,9.418439716312056,0.008099225349724293
142,10,1338,9.422535211267606,0.007712687831372023
143,10,1348,9.426573426573427,0.0073443748988211155
144,10,1358,9.430555555555555,0.006993450690060854
145,10,1368,9.434482758620689,0.0066591124050319195
146,10,1378,9.438356164383562,0.006340589374303818
147,10,1388,9.4421768707483,0.006037056911736727
148,10,1398,9.445945945945946,0.005747897084802389
149,10,1408,9.449664429530202,0.005472347140312195
150,10,1418,9.453333333333333,0.005209922790527344
151,10,1428,9.456953642384105,0.004959916230291128
152,10,1438,9.460526315789474,0.004721729550510645
153,10,1448,9.4640522875817,0.004494791850447655
154,10,1458,9.467532467532468,0.004278699401766062
155,10,1468,9.470967741935484,0.004072778392583132
156,10,1478,9.474358974358974,0.0038766644429415464
157,10,1488,9.477707006369426,0.0036898700054734945
158,10,1498,9.481012658227849,0.0035119932144880295
159,10,1508,9.484276729559749,0.003342520445585251
160,10,1518,9.4875,0.0031811499502509832
161,9,1527,9.48447204968944,0.025593146681785583
162,10,1537,9.487654320987655,0.002775546396151185
163,10,1547,9.49079754601227,0.0026496064383536577
164,10,1557,9.49390243902439,0.002528860466554761
165,10,1567,9.496969696969696,0.002413093578070402
166,10,1577,9.5,0.0023022047244012356
167,10,1587,9.502994011976048,0.002196039305999875
168,10,1597,9.505952380952381,0.0020943449344486
169,10,1607,9.50887573964497,0.00199707830324769
170,10,1617,9.511764705882353,0.001903998083434999
171,10,1627,9.514619883040936,0.0018149683019146323
172,10,1637,9.517441860465116,0.0017298557795584202
173,10,1647,9.520231213872833,0.00164853036403656
174,10,1657,9.522988505747126,0.001570777501910925
175,10,1667,9.525714285714285,0.0014965211739763618
176,10,1677,9.528409090909092,0.0014256006106734276
177,10,1687,9.531073446327683,0.0013579027727246284
178,10,1697,9.53370786516854,0.0012932372046634555
179,10,1707,9.53631284916201,0.0012315013445913792
180,10,1717,9.53888888888889,0.0011726325610652566
181,10,1727,9.541436464088397,0.0011164193274453282
182,10,1737,9.543956043956044,0.0010628069285303354
183,10,1747,9.546448087431694,0.0010116692865267396
184,10,1757,9.548913043478262,0.0009629197302274406
185,10,1767,9.551351351351352,0.0009164403309114277
186,10,1777,9.553763440860216,0.0008721184567548335
187,10,1787,9.556149732620321,0.0008298465400002897
188,10,1797,9.558510638297872,0.0007895836606621742
189,10,1807,9.56084656084656,0.0007511969306506217
190,10,1817,9.563157894736841,0.0007146496209315956
191,10,1827,9.565445026178011,0.0006798173417337239
192,10,1837,9.567708333333334,0.0006466111517511308
193,10,1847,9.569948186528498,0.0006150007830001414
194,10,1857,9.572164948453608,0.0005849014269188046
195,10,1867,9.574358974358974,0.0005562322912737727
196,10,1877,9.576530612244898,0.0005289418040774763
197,10,1887,9.578680203045685,0.0005029549356549978
198,10,1897,9.580808080808081,0.0004782003816217184
199,10,1907,9.582914572864322,0.00045463384594768286
200,10,1917,9.585,0.00043223495595157146
201,10,1927,9.587064676616915,0.0004108927969355136
202,10,1937,9.589108910891088,0.00039056959212757647
203,10,1947,9.591133004926109,0.00037124971277080476
204,10,1957,9.593137254901961,0.0003528540546540171
205,10,1967,9.595121951219513,0.0003353492065798491
206,10,1977,9.597087378640778,0.0003187023976352066
207,10,1987,9.599033816425122,0.0003028624632861465
208,10,1997,9.600961538461538,0.00028779980493709445
209,10,2007,9.602870813397129,0.00027346721617504954
210,10,2017,9.604761904761904,0.00025983783416450024
211,10,2027,9.606635071090047,0.00024686817778274417
212,10,2037,9.608490566037736,0.00023455086920876056
213,10,2047,9.610328638497652,0.00022281169367488474
214,10,2057,9.61214953271028,0.00021166213264223188
215,10,2067,9.613953488372093,0.0002010641183005646
216,10,2077,9.61574074074074,0.0001909817074192688
217,10,2087,9.617511520737327,0.00018141067994292825
218,10,2097,9.619266055045872,0.00017230243247468024
219,10,2107,9.621004566210045,0.0001636400120332837
220,10,2117,9.622727272727273,0.00015540684398729354
221,10,2127,9.624434389140271,0.015932723879814148
222,10,2137,9.626126126126126,0.0001362158654956147
223,10,2147,9.627802690582959,0.00012585606600623578
224,10,2157,9.629464285714286,0.00011640441516647115
225,10,2167,9.63111111111111,0.015552423894405365
226,10,2177,9.632743362831858,9.651941218180582e-05
227,10,2187,9.634361233480176,8.656643331050873e-05
228,10,2197,9.635964912280702,7.774608820909634e-05
229,10,2207,9.637554585152838,6.992345879552886e-05
230,10,2217,9.639130434782608,6.296909123193473e-05
231,10,2227,9.64069264069264,5.677649096469395e-05
232,10,2237,9.642241379310345,5.1274288125569e-05
233,10,2247,9.643776824034335,4.6359356929315254e-05
234,9,2256,9.64102564102564,3.5985984141007066e-05
235,10,2266,9.642553191489363,3.085852586082183e-05
236,10,2276,9.64406779661017,2.6463763788342476e-05
237,10,2286,9.645569620253164,2.2699292458128184e-05
